,TIME,FLUX,FLUX_ERR
341,57802.6971875,0.03052331643565818,9.409112205663463e-05
268,57804.3569097222,0.03365870142819462,0.000196443629707203
6,57805.4860763889,0.03151987625289259,0.0001145734506407928
211,57809.1423263889,0.0322513729616486,9.858700945164445e-05
280,57810.2673263889,0.03563313853499641,0.00011843726531503294
321,57811.1353819444,0.03181688927690263,0.00011361634378131592
375,57812.1996643519,0.03210828799510162,0.0001553044344014397
143,57823.8885648148,0.04186032223619485,0.0004628278391022178
209,57824.0117824074,0.044333849379108815,0.0002332625448271613
64,57825.8714930556,0.03570196074553409,0.00015702638146623438
355,57827.2145486111,0.03241996146030841,0.00013083885194272246
392,57829.2666203704,0.0314703663680972,0.00012275852250872023
214,57831.8513541667,0.03332382644908494,0.00014618636033822445
387,57832.7777430556,0.041319764291569985,0.00024657389439788045
119,57835.3034375,0.04073975191345509,0.0002422361520523148
111,57849.4089930556,0.04845590945181307,0.000413786010917754
413,57851.1360763889,0.036145731195756585,0.00019705459159673625
207,57853.5978819444,0.032577680313466195,0.00011684516543990648
133,57855.7812152778,0.032789931954934876,0.00016597265317001776
20,57858.4367592593,0.035626718950153846,0.00016910288676803546
217,57859.1041319444,0.036994937760482884,0.00019930206510196974
278,57900.2395486111,0.058072431049134024,0.0007681118220807572
298,57907.2763541667,0.052696916663572534,0.0003163764825809906
35,57914.1694097222,0.04487672058945483,0.0003079658732043164
4,57921.6749652778,0.05042041038353938,0.00032875608717783524
19,57942.3326041667,0.04770284667530696,0.00029086407367773026
382,57967.8520486111,0.05203407318383165,0.0003501507942659461
197,57974.164537037,0.04570779428970006,0.0002799081157691495
66,57985.8548263889,0.08489307934159704,0.001620169869035354
292,57992.0916203704,0.04247727943096536,0.00043390044813779806
41,58006.5152314815,0.02925834375498758,0.00012468003524475753
386,58013.6881597222,0.04536266129104989,0.0002751982947293916
163,58019.9992592593,0.03663833071871061,0.00016717027740482593
185,58027.8353819444,0.03189166732055241,0.0001448961856107796
240,58034.7360763889,0.031161133463388675,0.00015086683046149703
349,58042.445787037,0.032988461431257436,0.00014151617027125668
412,58055.1430208333,0.032683920274936766,0.00015350678048979644
170,58062.6548263889,0.03694121250231115,0.00019773304991104932
69,58091.1291319444,0.030770512794180648,0.00014469833141660834
330,58096.3069097222,0.026966202694181,8.327021370331e-05
39,58107.9471875,0.029391287830275628,0.000184395775119441
248,58112.0610763889,0.028547086359965133,0.00011992543334412155
367,58119.2957986111,0.0314253538550305,0.00014249544479312567
245,58125.2214930556,0.03518898742453626,0.0003405707738923894
351,58136.6409375,0.03491833295622747,0.0002592318445604854
9,58140.0201041667,0.031698272011710736,0.00012572867133595268
238,58147.1256597222,0.03456488201240125,0.00016870139424298304
221,58161.2805208333,0.02942675334573453,0.00011700211847332492
193,58168.6562152778,0.03489650628705021,0.00015880022976754886
347,58175.2256597222,0.03922475278541973,0.00017093912538087707
159,58212.5600694444,0.042619175541730024,0.0003010788172173173
219,58220.7860648148,0.039788290639535706,0.000202841781335214
0,58228.2298263889,0.03065930794316395,0.00012888351146821144
194,58232.2869907407,0.03319868397224684,0.00011628590086126344
158,58236.4652430556,0.04705058558135208,0.0002607857524169962
26,58244.7631597222,0.031110270256729522,0.00015277650411146918
131,58250.064537037,0.038355236834939896,0.00024220306248158943
408,58260.5201041667,0.05836121177917534,0.0005880062379969986
80,58265.2277314815,0.03913994481477516,0.0002514138315638853
29,58268.0110763889,0.0377661704143147,0.00020530457386938114
137,58276.6402430556,0.0317493631923029,0.00014306371156610944
8,58284.9395486111,0.03669577011472809,0.00016084457269670938
128,58291.6423148148,0.031596124096341764,0.00014145611473499476
345,58300.7478935185,0.03901285404545042,0.0001924168060050191
260,58318.8832986111,0.03738616017803792,0.00019192676905132342
15,58324.9992708333,0.03271445457721123,0.00017650429925210472
108,58332.0312152778,0.036164291617770176,0.000160256550457806
255,58339.0089930556,0.03891731099356518,0.00022745527939545328
281,58349.6312152778,0.032215994434701994,0.0001960619426996905
46,58353.2117592593,0.03200758945022075,0.00021179606772149526
401,58367.3131712963,0.05151750663277124,0.0003279655181210485
305,58374.0735763889,0.0288267365626019,0.00014646030962440183
283,58381.8520486111,0.04469076175011263,0.00022267578001678202
227,58388.6145486111,0.025948045264509962,0.00013029793674915275
72,58395.5832986111,0.027229579846736223,0.00012303195015482885
263,58442.0206134259,0.03264764441744608,0.00014525124897462268
